CRONOGRAMA I4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INICIO;03/17/26
Desglose;;TAREAS;RECURSOS;;;;SEMANAS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;SEMANA 1;;;;SEMANA 2;;;;;SEMANA 3;;;;;SEMANA 4;;;;;;;;;;
;;;R1;R2;R3;R4;6/m;7/m;8/a;9/a;13/m;14/m;15/m;16/m;17/m;20/m;21/m;22/m;23/m;24/m;27/m;28/m;29/m;30/m;31/m;;;;;;
T0;1;Coordinación Semanal;x;x;x;x;R3;;;;R3;;;;;R3;;;;;R3;;;;;;;;;;
T1;1;Character: Ańadir campo Following;x;;;;;R1;R1;;;;;;;;;;;;;;;;;;;;;;
T1;2;Character: Implementar setters y getters;x;;;;;;R1;;;;;;;;;;;;;;;;;;;;;;
T2;1;Nuevo comando: reclutar jugador;x;;;;;;;R1;R1;;;;;;;;;;;;;;;;;;;;
T3;1;Nuevo comando: dejar de seguir jugador;x;;;;;;;R1;R1;;;;;;;;;;;;;;;;;;;;
T4;1;Modificar el comando Attack <char>;x;;;;;;;;;R1;R1;;;;;;;;;;;;;;;;;;
T5;1;Modificar las funciones para cumplir las Fs;x;;;;;;;;;R1;R1;;;;;;;;;;;;;;;;;;
T6;1;Modificar la enumeración de direcciones ;;x;;;;;;;;R1;R1;;;;;;;;;;;;;;;;;;
T7;1;Módulo Object: ańadir health;;x;;;;;;;;;;R2;R2;R2;;;;;;;;;;;;;;;
T7;2;Módulo Object: ańadir movable;;x;;;;;;;;;;R2;R2;R2;;;;;;;;;;;;;;;
T7;3;Módulo Object: ańadir dependency;;x;;;;;;;;;;R2;R2;R2;;;;;;;;;;;;;;;
T7;4;Módulo Object: ańadir open;;x;;;;;;;;;;R2;R2;R2;;;;;;;;;;;;;;;
T8;1;Ajustar funciones dependientes de las Fs;;x;;;;;;;;;;;R2;R2;;;;;;;;;;;;;;;
T9;1;Ajustar fichero de datos a las nuevas Fs;;;;x;;;;;;;;;R2;R2;;;;;;;;;;;;;;;
T10;1;Módulo Object: ańadir use <obj> [ over <chr> ];;;;x;;;;;;;;;R2;R2;R2;;;;;;;;;;;;;;
T11;1;Nuevo comando para abrir enlaces con objetos;;;;x;;;;;;;;;;;;;R4;R4;R4;;;;;;;;;;
T12;1;Visualización del juego;;;;x;;;;;;;;;;;;;R4;R4;R4;R4;;;;;;;;;
T13;1;Creación de la aventura con más contenido;;;;x;;;;;;;;;;;;;;;R4;R4;R4;R4;;;;;;;
T14;1;Crear una documentación de usuario ;;;x;;;;;;;;;;;;;;;;;;R4;R4;;;;;;;
T15;1;Implementación del módulo GameRules;;;x;;;;;;;;;;;;;;;;R3;R3;R3;R3;;;;;;;
T16;1;Implementar un modo de juego determinista;;;x;;;;;;;;;;;;;;;;R3;R3;R3;R3;;;;;;;
T17;1;implementar mejoras (COIL);x;;;;;;;;;;;;;;;;;;;R1;R1;R1;;;;;;;
T18;1;Adaptar el fichero de log, interfaz, módulos;;x;;;;;;;;;;;;;;;;;;;R2;R2;;;;;;;
E1;1;Depuración de errores;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;
E2;1;Revisión general;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;
E3;1;Entrega;x;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
